smile_A_ion,smile_B_ion,mol_fraction_A,mol_fraction_B,beta,kind_surfactant 1,kind_surfactant 2
CCCCCCCCCCP(=O)(C)C,CCCCCCCCCCS(=O)C,0.64,0.36,0.033519288,NONIONIC,NONIONIC
CCCCCCCCCCP(=O)(C)C,CCCCCCCCCCS(=O)C,0.5,0.5,0.183209693,NONIONIC,NONIONIC
CCCCCCCCCCP(=O)(C)C,CCCCCCCCCCS(=O)C,0.39,0.61,0.138871078,NONIONIC,NONIONIC
CCCCCCCCCCP(=O)(C)C,CCCCCCCCCCS(=O)C,0.12,0.88,0.795579857,NONIONIC,NONIONIC
CCCCCC(=O)[O-].[K+],CCCCCCC(=O)[O-].[K+],0.95,0.05,-0.069890322,ANIONIC,ANIONIC
CCCCCC(=O)[O-].[K+],CCCCCCC(=O)[O-].[K+],0.9,0.1,-0.070975879,ANIONIC,ANIONIC
CCCCCC(=O)[O-].[K+],CCCCCCC(=O)[O-].[K+],0.85,0.15,-0.295728135,ANIONIC,ANIONIC
CCCCCC(=O)[O-].[K+],CCCCCCC(=O)[O-].[K+],0.7,0.3,-0.34556058,ANIONIC,ANIONIC
CCCCCC(=O)[O-].[K+],CCCCCCC(=O)[O-].[K+],0.6,0.4,-0.190091807,ANIONIC,ANIONIC
CCCCCC(=O)[O-].[K+],CCCCCCC(=O)[O-].[K+],0.5,0.5,-0.277428633,ANIONIC,ANIONIC
CCCCCC(=O)[O-].[K+],CCCCCCC(=O)[O-].[K+],0.23,0.77,-0.354354238,ANIONIC,ANIONIC
CCCCCC(=O)[O-].[K+],CCCCCCCC(=O)[O-].[K+],0.95,0.05,-0.722830396,ANIONIC,ANIONIC
CCCCCC(=O)[O-].[K+],CCCCCCCC(=O)[O-].[K+],0.88,0.12,-1.01,ANIONIC,ANIONIC
CCCCCC(=O)[O-].[K+],CCCCCCCC(=O)[O-].[K+],0.75,0.25,-0.724258268,ANIONIC,ANIONIC
CCCCCC(=O)[O-].[K+],CCCCCCCC(=O)[O-].[K+],0.55,0.45,-0.788861197,ANIONIC,ANIONIC
CCCCCC(=O)[O-].[K+],CCCCCCCC(=O)[O-].[K+],0.3,0.7,-0.370498097,ANIONIC,ANIONIC
CCCCCC(=O)[O-].[K+],CCCCCCCCCC(=O)[O-].[K+],0.983884121,0.016115879,-0.998943281,ANIONIC,ANIONIC
CCCCCC(=O)[O-].[K+],CCCCCCCCCC(=O)[O-].[K+],0.964186247,0.035813753,-2.159562408,ANIONIC,ANIONIC
CCCCCC(=O)[O-].[K+],CCCCCCCCCC(=O)[O-].[K+],0.912035708,0.087964292,-2.398427038,ANIONIC,ANIONIC
CCCCCC(=O)[O-].[K+],CCCCCCCCCC(=O)[O-].[K+],0.784799542,0.215200458,-2.376093011,ANIONIC,ANIONIC
CCCCCC(=O)[O-].[K+],CCCCCCCCCC(=O)[O-].[K+],0.646538678,0.353461322,-2.402411124,ANIONIC,ANIONIC
CCCCCC(=O)[O-].[K+],CCCCCCCCCC(=O)[O-].[K+],0.397432112,0.602567888,-1.737584216,ANIONIC,ANIONIC
CCCCCC(=O)[O-].[K+],CCCCCCCCCC(=O)[O-].[K+],0.202462183,0.797537817,-0.949755932,ANIONIC,ANIONIC
CCCCCC(=O)[O-].[K+],CCCCCCCCCC(=O)[O-].[K+],0.003216569,0.996783431,-2.630804727,ANIONIC,ANIONIC
CCCCCC(=O)[O-].[K+],CCCCCCCCCCC(=O)[O-].[K+],0.979288432,0.020711568,-3.122787718,ANIONIC,ANIONIC
CCCCCC(=O)[O-].[K+],CCCCCCCCCCC(=O)[O-].[K+],0.899755764,0.100244236,-4.066321458,ANIONIC,ANIONIC
